PosStart;PosEnd;PosLCG;Weight
-6.50;18.25;4.030;1826.7
18.25;91.60;62.010;7503.1
91.60;360.65;212.510;29438.2
360.65;388.00;371.490;1216.6
220.40;231.60;226.130;748.3
68.75;75.15;71.780;299.7
-6.50;388.00;181.310;272.0
-6.50;388.00;181.310;408.4
8.80;21.40;15.100;137.3
23.25;35.85;29.550;137.3
37.70;50.30;44.000;137.3
52.15;64.75;58.450;137.3
88.75;103.20;96.900;138.6
105.05;117.65;111.350;138.6
119.50;132.10;125.800;138.4
133.95;146.55;140.250;138.6
148.40;161.00;154.700;138.6
162.85;175.45;169.150;138.4
177.30;189.90;183.600;138.6
191.75;204.35;198.050;138.6
206.20;218.80;212.500;138.4
233.45;246.05;239.750;138.6
247.90;260.50;254.200;138.6
262.35;274.95;268.650;138.4
276.80;289.40;283.100;138.6
291.25;303.85;297.550;138.6
305.70;318.30;312.000;138.4
320.15;332.75;326.450;138.4
334.60;347.20;340.900;127.4
349.05;361.65;355.350;86.1
-6.50;-5.10;-5.800;29.9
7.50;8.50;7.970;30.5
21.40;23.25;22.300;44.0
35.85;37.70;36.750;44.0
50.30;52.15;51.200;44.0
65.13;66.13;65.630;43.6
75.34;76.34;75.840;43.9
88.75;90.60;89.530;44.0
103.20;105.05;104.070;47.3
117.65;119.50;118.520;47.3
132.10;133.95;132.970;46.3
146.55;148.40;147.420;43.6
161.00;162.85;161.870;43.6
175.45;177.30;176.320;43.6
189.90;191.75;190.770;43.6
204.35;206.20;205.220;43.6
218.80;220.40;219.670;43.6
231.60;233.45;232.470;43.6
246.05;247.90;246.920;49.1
260.50;262.35;261.370;54.2
274.95;276.80;275.820;48.6
289.40;291.25;290.270;43.6
303.85;305.70;304.720;43.6
318.30;320.15;319.170;43.6
332.75;334.60;333.620;53.9
347.20;349.05;348.070;60.5
369.30;373.20;371.070;309.2
377.00;382.00;380.050;41.3
365.65;381.65;372.340;97.0
-2.80;7.20;1.230;47.8
352.30;358.60;355.350;29.9
-6.50;388.00;207.400;728.9
91.60;363.37;195.680;534.9
52.15;79.95;66.340;2300.0
68.75;79.15;74.580;245.8
70.35;73.55;71.770;41.7
6.70;9.50;8.210;111.9
6.70;52.15;27.930;242.3
-2.40;2.40;-0.030;61.3
-6.50;3.60;-0.290;301.5
8.80;18.15;12.530;99.2
52.15;88.75;70.210;673.9
18.15;88.75;56.890;749.7
220.40;226.80;222.790;421.0
64.75;88.75;74.950;23.7
-6.50;388.00;135.770;515.5
-6.50;360.65;172.220;554.0
58.25;79.95;72.180;455.1
58.25;82.95;74.010;200.3
